fold,model,train_end,test_start,test_end,budget_k,value_at_risk,var_covered_frac,precision_at_k,recall_at_k,lift_at_k,roc_auc,pr_auc,brier_score
2010-06_2010-07,xgboost,2010-05,2010-06,2010-07,0.05,48691.020000000004,0.1345361443439526,0.27884615384615385,0.040446304044630406,0.8100928012015878,0.7738885791824157,0.6253292676038993,0.18160632589251718
2010-06_2010-07,xgboost,2010-05,2010-06,2010-07,0.1,81415.93,0.2249569902289404,0.3173076923076923,0.09205020920502092,0.9218297392983585,0.7738885791824157,0.6253292676038993,0.18160632589251718
2010-06_2010-07,xgboost,2010-05,2010-06,2010-07,0.2,137583.05,0.3801500374007619,0.3405275779376499,0.19804741980474197,0.9892872313028238,0.7738885791824157,0.6253292676038993,0.18160632589251718
2010-06_2010-07,logistic_regression,2010-05,2010-06,2010-07,0.05,51497.770000000004,0.14229135923034006,0.2403846153846154,0.03486750348675035,0.6983558631048171,0.7807548737929105,0.6466818298117522,0.18051141121268321
2010-06_2010-07,logistic_regression,2010-05,2010-06,2010-07,0.1,92677.45,0.25607323055934034,0.27884615384615385,0.08089260808926081,0.8100928012015878,0.7807548737929105,0.6466818298117522,0.18051141121268321
2010-06_2010-07,logistic_regression,2010-05,2010-06,2010-07,0.2,144572.38,0.3994619661660152,0.2733812949640288,0.1589958158995816,0.7942165096374784,0.7807548737929105,0.6466818298117522,0.18051141121268321
2010-06_2010-07,lightgbm,2010-05,2010-06,2010-07,0.05,44494.740000000005,0.12294157656148183,0.2692307692307692,0.03905160390516039,0.7821585666773951,0.7679488514654562,0.6111159830187227,0.18456608855971357
2010-06_2010-07,lightgbm,2010-05,2010-06,2010-07,0.1,73857.77,0.2040733508076531,0.30288461538461536,0.08786610878661087,0.8799283875120695,0.7679488514654562,0.6111159830187227,0.18456608855971357
2010-06_2010-07,lightgbm,2010-05,2010-06,2010-07,0.2,128601.87,0.3553345102489582,0.34292565947242204,0.199442119944212,0.9962540427908718,0.7679488514654562,0.6111159830187227,0.18456608855971357
2010-08_2010-09,xgboost,2010-07,2010-08,2010-09,0.05,64154.66000000001,0.1576567020205698,0.2777777777777778,0.045180722891566265,0.9061244979919678,0.7263909165289654,0.512130850569863,0.18816184370648742
2010-08_2010-09,xgboost,2010-07,2010-08,2010-09,0.1,105978.93000000002,0.26043764533190306,0.3271889400921659,0.10692771084337349,1.0673060907223364,0.7263909165289654,0.512130850569863,0.18816184370648742
2010-08_2010-09,xgboost,2010-07,2010-08,2010-09,0.2,169154.47000000003,0.41568821146020285,0.325635103926097,0.21234939759036145,1.062237402264949,0.7263909165289654,0.512130850569863,0.18816184370648742
2010-08_2010-09,logistic_regression,2010-07,2010-08,2010-09,0.05,73699.24999999999,0.1811120298414718,0.3611111111111111,0.058734939759036146,1.1779618473895581,0.7361655343076701,0.5004776768230529,0.18407122270279638
2010-08_2010-09,logistic_regression,2010-07,2010-08,2010-09,0.1,108380.57,0.26633954929087783,0.3225806451612903,0.10542168674698796,1.0522736105713175,0.7361655343076701,0.5004776768230529,0.18407122270279638
2010-08_2010-09,logistic_regression,2010-07,2010-08,2010-09,0.2,171287.12,0.42092908664470485,0.3279445727482679,0.21385542168674698,1.0697710008625725,0.7361655343076701,0.5004776768230529,0.18407122270279638
2010-08_2010-09,lightgbm,2010-07,2010-08,2010-09,0.05,64361.89,0.1581659588439981,0.3148148148148148,0.05120481927710843,1.0269410977242301,0.7261638096995171,0.5108514495840385,0.18873708914136914
2010-08_2010-09,lightgbm,2010-07,2010-08,2010-09,0.1,106382.3,0.2614289058871618,0.3225806451612903,0.10542168674698796,1.0522736105713175,0.7261638096995171,0.5108514495840385,0.18873708914136914
