model,policy,budget_k,value_at_risk,total_value_at_risk,var_covered_frac,targeted_count,captured_churners,precision_at_k,recall_at_k,lift_at_k,split
xgboost,policy_ml,0.05,48699.719999999994,340048.85,0.14321389412138874,98.0,26.0,0.2653061224489796,0.044673539518900345,0.8898239708254436,val
xgboost,policy_random,0.05,26557.51,340048.85,0.07809910252600472,98.0,35.0,0.35714285714285715,0.06013745704467354,1.1978399607265586,val
xgboost,policy_recency,0.05,25625.51,340048.85,0.07535831984139926,98.0,44.0,0.4489795918367347,0.07560137457044673,1.5058559506276736,val
xgboost,policy_rfm,0.05,21147.14,340048.85,0.06218853555893514,98.0,4.0,0.04081632653061224,0.006872852233676976,0.1368959955116067,val
xgboost,policy_ml,0.1,76760.36,340048.85,0.22573333213742675,195.0,58.0,0.29743589743589743,0.09965635738831616,0.9975856903691955,val
xgboost,policy_random,0.1,43412.45,340048.85,0.12766533396598753,195.0,63.0,0.3230769230769231,0.10824742268041238,1.083584456780333,val
xgboost,policy_recency,0.1,42842.80000000001,340048.85,0.12599013347641086,195.0,94.0,0.48205128205128206,0.16151202749140894,1.6167768085293859,val
xgboost,policy_rfm,0.1,37825.200000000004,340048.85,0.11123460643963362,195.0,9.0,0.046153846153846156,0.015463917525773196,0.1547977795400476,val
xgboost,policy_ml,0.2,124202.08,340048.85,0.3652477577853888,390.0,119.0,0.30512820512820515,0.20446735395189003,1.023385320292537,val
xgboost,policy_rfm,0.2,95519.91,340048.85,0.28090055296466965,390.0,37.0,0.09487179487179487,0.06357388316151202,0.3181954357212089,val
xgboost,policy_random,0.2,84325.20000000001,340048.85,0.2479796652745628,390.0,133.0,0.34102564102564104,0.22852233676975944,1.1437835932681293,val
xgboost,policy_recency,0.2,83083.25000000001,340048.85,0.24432739590208882,390.0,170.0,0.4358974358974359,0.2920962199312715,1.4619790289893382,val
xgboost,policy_ml,0.05,101521.46999999999,624158.2,0.1626534266472827,139.0,49.0,0.35251798561151076,0.046489563567362426,0.9294568140553969,test
xgboost,policy_recency,0.05,75090.38999999998,624158.2,0.12030666263777355,139.0,76.0,0.5467625899280576,0.07210626185958255,1.44160648710633,test
xgboost,policy_rfm,0.05,42731.38,624158.2,0.06846241866244808,139.0,6.0,0.04316546762589928,0.0056925996204933585,0.1138110384557629,test
xgboost,policy_random,0.05,23202.559999999998,624158.2,0.03717416513954315,139.0,40.0,0.28776978417266186,0.03795066413662239,0.7587402563717526,test
xgboost,policy_ml,0.1,164787.8,624158.2,0.2640160779751031,278.0,111.0,0.39928057553956836,0.10531309297912714,1.052752105715807,test
xgboost,policy_recency,0.1,107171.34,624158.2,0.17170541058340658,278.0,153.0,0.5503597122302158,0.14516129032258066,1.451090740310977,test
xgboost,policy_rfm,0.1,93323.91,624158.2,0.14951964101408907,278.0,24.0,0.08633093525179857,0.022770398481973434,0.2276220769115258,test
xgboost,policy_random,0.1,53552.12,624158.2,0.08579895289367344,278.0,90.0,0.3237410071942446,0.08538899430740038,0.8535827884182217,test
xgboost,policy_ml,0.2,254018.05000000002,624158.2,0.4069770292211174,556.0,224.0,0.4028776978417266,0.2125237191650854,1.0622363589204538,test
xgboost,policy_rfm,0.2,197438.27000000005,624158.2,0.31632728689617484,556.0,83.0,0.14928057553956833,0.07874762808349146,0.3935965079928467,test
xgboost,policy_recency,0.2,174482.7,624158.2,0.2795488387399221,556.0,305.0,0.5485611510791367,0.2893738140417457,1.4463486137086536,test
xgboost,policy_random,0.2,127378.02000000002,624158.2,0.20407970287020186,556.0,206.0,0.37050359712230213,0.1954459203036053,0.9768780800786314,test
logistic_regression,policy_ml,0.05,60889.3,340048.85,0.17906044969715382,98.0,26.0,0.2653061224489796,0.044673539518900345,0.8898239708254436,val
logistic_regression,policy_random,0.05,26557.51,340048.85,0.07809910252600472,98.0,35.0,0.35714285714285715,0.06013745704467354,1.1978399607265586,val
logistic_regression,policy_recency,0.05,25625.51,340048.85,0.07535831984139926,98.0,44.0,0.4489795918367347,0.07560137457044673,1.5058559506276736,val
logistic_regression,policy_rfm,0.05,21147.14,340048.85,0.06218853555893514,98.0,4.0,0.04081632653061224,0.006872852233676976,0.1368959955116067,val
logistic_regression,policy_ml,0.1,97853.45,340048.85,0.2877629199451785,195.0,55.0,0.28205128205128205,0.09450171821305842,0.945986430522513,val
logistic_regression,policy_random,0.1,43412.45,340048.85,0.12766533396598753,195.0,63.0,0.3230769230769231,0.10824742268041238,1.083584456780333,val
logistic_regression,policy_recency,0.1,42842.80000000001,340048.85,0.12599013347641086,195.0,94.0,0.48205128205128206,0.16151202749140894,1.6167768085293859,val
logistic_regression,policy_rfm,0.1,37825.200000000004,340048.85,0.11123460643963362,195.0,9.0,0.046153846153846156,0.015463917525773196,0.1547977795400476,val
logistic_regression,policy_ml,0.2,158587.48,340048.85,0.4663667587759818,390.0,117.0,0.3,0.20103092783505155,1.0061855670103093,val
logistic_regression,policy_rfm,0.2,95519.91,340048.85,0.28090055296466965,390.0,37.0,0.09487179487179487,0.06357388316151202,0.3181954357212089,val
logistic_regression,policy_random,0.2,84325.20000000001,340048.85,0.2479796652745628,390.0,133.0,0.34102564102564104,0.22852233676975944,1.1437835932681293,val
logistic_regression,policy_recency,0.2,83083.25000000001,340048.85,0.24432739590208882,390.0,170.0,0.4358974358974359,0.2920962199312715,1.4619790289893382,val
logistic_regression,policy_ml,0.05,108496.47,624158.2,0.17382847810058413,139.0,64.0,0.460431654676259,0.06072106261859583,1.2139844101948043,test
logistic_regression,policy_recency,0.05,75090.38999999998,624158.2,0.12030666263777355,139.0,76.0,0.5467625899280576,0.07210626185958255,1.44160648710633,test
logistic_regression,policy_rfm,0.05,42731.38,624158.2,0.06846241866244808,139.0,6.0,0.04316546762589928,0.0056925996204933585,0.1138110384557629,test
logistic_regression,policy_random,0.05,23202.559999999998,624158.2,0.03717416513954315,139.0,40.0,0.28776978417266186,0.03795066413662239,0.7587402563717526,test
logistic_regression,policy_ml,0.1,165919.06,624158.2,0.2658285351374059,278.0,113.0,0.4064748201438849,0.10721062618595825,1.0717206121251006,test
logistic_regression,policy_recency,0.1,107171.34,624158.2,0.17170541058340658,278.0,153.0,0.5503597122302158,0.14516129032258066,1.451090740310977,test
logistic_regression,policy_rfm,0.1,93323.91,624158.2,0.14951964101408907,278.0,24.0,0.08633093525179857,0.022770398481973434,0.2276220769115258,test
logistic_regression,policy_random,0.1,53552.12,624158.2,0.08579895289367344,278.0,90.0,0.3237410071942446,0.08538899430740038,0.8535827884182217,test
logistic_regression,policy_ml,0.2,260599.82,624158.2,0.4175220641177189,556.0,219.0,0.39388489208633093,0.2077798861480076,1.0385257259088365,test
logistic_regression,policy_rfm,0.2,197438.27000000005,624158.2,0.31632728689617484,556.0,83.0,0.14928057553956833,0.07874762808349146,0.3935965079928467,test
logistic_regression,policy_recency,0.2,174482.7,624158.2,0.2795488387399221,556.0,305.0,0.5485611510791367,0.2893738140417457,1.4463486137086536,test
logistic_regression,policy_random,0.2,127378.02000000002,624158.2,0.20407970287020186,556.0,206.0,0.37050359712230213,0.1954459203036053,0.9768780800786314,test
lightgbm,policy_ml,0.05,50081.100000000006,340048.85,0.1472761928175908,98.0,30.0,0.30612244897959184,0.05154639175257732,1.0267199663370503,val
lightgbm,policy_random,0.05,26557.51,340048.85,0.07809910252600472,98.0,35.0,0.35714285714285715,0.06013745704467354,1.1978399607265586,val
lightgbm,policy_recency,0.05,25625.51,340048.85,0.07535831984139926,98.0,44.0,0.4489795918367347,0.07560137457044673,1.5058559506276736,val
lightgbm,policy_rfm,0.05,21147.14,340048.85,0.06218853555893514,98.0,4.0,0.04081632653061224,0.006872852233676976,0.1368959955116067,val
lightgbm,policy_ml,0.1,72032.55,340048.85,0.21183000618881673,195.0,57.0,0.2923076923076923,0.0979381443298969,0.9803859370869681,val
lightgbm,policy_random,0.1,43412.45,340048.85,0.12766533396598753,195.0,63.0,0.3230769230769231,0.10824742268041238,1.083584456780333,val
lightgbm,policy_recency,0.1,42842.80000000001,340048.85,0.12599013347641086,195.0,94.0,0.48205128205128206,0.16151202749140894,1.6167768085293859,val
lightgbm,policy_rfm,0.1,37825.200000000004,340048.85,0.11123460643963362,195.0,9.0,0.046153846153846156,0.015463917525773196,0.1547977795400476,val
lightgbm,policy_ml,0.2,121620.85999999999,340048.85,0.35765702486569206,390.0,122.0,0.3128205128205128,0.20962199312714777,1.049184950215878,val
lightgbm,policy_rfm,0.2,95519.91,340048.85,0.28090055296466965,390.0,37.0,0.09487179487179487,0.06357388316151202,0.3181954357212089,val
lightgbm,policy_random,0.2,84325.20000000001,340048.85,0.2479796652745628,390.0,133.0,0.34102564102564104,0.22852233676975944,1.1437835932681293,val
lightgbm,policy_recency,0.2,83083.25000000001,340048.85,0.24432739590208882,390.0,170.0,0.4358974358974359,0.2920962199312715,1.4619790289893382,val
lightgbm,policy_ml,0.05,98952.62999999999,624158.2,0.15853773931032228,139.0,49.0,0.35251798561151076,0.046489563567362426,0.9294568140553969,test
lightgbm,policy_recency,0.05,75090.38999999998,624158.2,0.12030666263777355,139.0,76.0,0.5467625899280576,0.07210626185958255,1.44160648710633,test
lightgbm,policy_rfm,0.05,42731.38,624158.2,0.06846241866244808,139.0,6.0,0.04316546762589928,0.0056925996204933585,0.1138110384557629,test
lightgbm,policy_random,0.05,23202.559999999998,624158.2,0.03717416513954315,139.0,40.0,0.28776978417266186,0.03795066413662239,0.7587402563717526,test
lightgbm,policy_ml,0.1,164581.86,624158.2,0.2636861295742009,278.0,112.0,0.4028776978417266,0.1062618595825427,1.0622363589204538,test
lightgbm,policy_recency,0.1,107171.34,624158.2,0.17170541058340658,278.0,153.0,0.5503597122302158,0.14516129032258066,1.451090740310977,test
lightgbm,policy_rfm,0.1,93323.91,624158.2,0.14951964101408907,278.0,24.0,0.08633093525179857,0.022770398481973434,0.2276220769115258,test
lightgbm,policy_random,0.1,53552.12,624158.2,0.08579895289367344,278.0,90.0,0.3237410071942446,0.08538899430740038,0.8535827884182217,test
lightgbm,policy_ml,0.2,248939.62,624158.2,0.3988405824036278,556.0,229.0,0.4118705035971223,0.21726755218216318,1.085946991932071,test
lightgbm,policy_rfm,0.2,197438.27000000005,624158.2,0.31632728689617484,556.0,83.0,0.14928057553956833,0.07874762808349146,0.3935965079928467,test
lightgbm,policy_recency,0.2,174482.7,624158.2,0.2795488387399221,556.0,305.0,0.5485611510791367,0.2893738140417457,1.4463486137086536,test
lightgbm,policy_random,0.2,127378.02000000002,624158.2,0.20407970287020186,556.0,206.0,0.37050359712230213,0.1954459203036053,0.9768780800786314,test
